FileName	Image dimension	Resolution	DWI count	Max b-value	B-table matched	Neighboring DWI correlation	# Bad Slices
80557	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.80005	0	
80688	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.811436	0	
81725	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.806033	21	
81760	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.795422	0	
83454	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.808553	0	
83835	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.783529	0	
84354	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.753469	0	
84688	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.713693	0	
84761	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.795408	0	
85083	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.767286	0	
85369	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.780409	0	
86722	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.797435	0	
86972	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.805382	0	
87346	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.755686	3	
87563	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.773336	0	
87601	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.689923	18	
87646	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.80254	0	
88402	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.744114	0	
88589	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.785252	0	
88608	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.792547	0	
88770	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.789054	0	
89279	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.818585	0	
89377	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.760844	0	
90021	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.697197	0	
90060	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.796056	0	
90077	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.737346	0	
90262	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.823557	0	
90281	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.809954	0	
90683	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.747267	0	
91717	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.771518	0	
91919	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.784441	0	
91962	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.736691	2	
92089	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.814084	0	
92193	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.763422	0	
92211	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.777616	0	
92554	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.768816	2	
92927	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.80626	1	
